diagnosis_id	synonym	language
914520008	gastroduodenal lesion	en
1594312948	disease of oesophagus	en
1594312948	disorder of oesophagus	en
1594312948	oesophageal disease	en
1594312948	oesophageal disorder	en
598093212	IBD - [inflammatory bowel disease]	en
1294458332	abdominal hernia NOS	en
1294458332	acquired hernia	en
1294458332	congenital hernia (except diaphragmatic or hiatus) NOS	en
1294458332	hernia, not otherwise specified	en
1294458332	herniation NOS	en
1294458332	recurrent hernia	en
1784240230	hepatopathy	en
1784240230	liver condition NOS	en
1784240230	liver disease	en
1784240230	organ liver disease	en
587365414	biliary disease, unspecified	en
2031646451	postoperative gastrointestinal complications	en
62637936	acute brain inflammation	en
62637936	acute cephalitis NOS	en
62637936	acute cerebral ependymitis	en
62637936	acute cerebral infection NOS	en
62637936	acute cerebral ventriculitis	en
62637936	acute cerebritis	en
62637936	acute cerebrum ependymitis	en
62637936	acute encephalitis NOS	en
62637936	acute encephalitis coma	en
62637936	acute encephalomeningomyelitis	en
62637936	acute encephalomyelitis NOS	en
62637936	acute ependymitis	en
62637936	acute mesencephalitis	en
62637936	acute temporoparietal infection	en
62637936	brain infection NOS	en
62637936	brain inflammation NOS	en
62637936	cephalitis NOS	en
62637936	cerebral inflammation	en
62637936	cerebral ventriculitis NOS	en
62637936	cerebritis NOS	en
62637936	cerebrum inflammation	en
62637936	encephalitis NOS	en
62637936	infectious disease of brain NOS	en
62637936	infectious encephalitis NEC	en
62637936	infectious encephalomeningomyelitis	en
62637936	infectious meningoencephalitis	en
62637936	inflammatory brain disease NOS	en
62637936	meningoencephalomyelitis	en
62637936	mesencephalitis	en
62637936	parencephalitis	en
62637936	subacute encephalitis	en
121670633	acute meningomyelitis	en
121670633	infectious meningitis NEC	en
121670633	infectious meningitis NOS	en
121670633	septic meningitis NOS	en
851941810	peritoneal disease	en
455894495	Treponema pallidum infection	en
455894495	infection due to Treponema pallidum NOS	en
455894495	lues	en
455894495	luetic disease	en
455894495	syphilis NOS	en
1442394311	HPV - [Human papillomavirus] infection NOS	en
1442394311	Human papillomavirus infection NOS	en
1357024926	Bubo due to Haemophilus ducreyi	en
1357024926	Soft chancre	en
1357024926	Ulcus molle	en
609214049	Gonorrhoea	en
609214049	Infections due to Neisseria gonorrhoeae	en
609214049	blennorrhoea	en
609214049	chronic gonorrhoea	en
1483190070	CNS - [central nervous system] abscess NOS	en
650157499	cerebral ependymitis	en
650157499	cerebrum ventriculitis	en
650157499	chronic cerebral ependymitis	en
650157499	chronic cerebrum ependymitis	en
650157499	chronic ependymitis	en
650157499	ependymitis	en
1220564554	disease due to trichomonadidae	en
1220564554	infection by trichomonas	en
1220564554	trichomonadosis	en
1220564554	trichomonas infection	en
1220564554	trichomonas pruritus	en
1220564554	trichomoniasis	en
1220564554	trichomonosis	en
616315615	anogenital HSV - [herpes simplex virus] infection	en
616315615	anogenital herpes	en
616315615	anogenital herpes simplex virus infection	en
616315615	anogenital herpesviral infection, unspecified	en
764124124	Donovanosis	en
764124124	Granuloma inguinale tropicum	en
764124124	Granuloma pudendi tropicum	en
392898612	acute myelitis	en
392898612	acute radiculomyelitis NOS	en
392898612	acute spinal cord inflammation NOS	en
392898612	acute syringomyelitis NOS	en
392898612	haematomyelitis	en
392898612	infectious myelitis NEC	en
392898612	infectious myelitis NOS	en
641342831	Condylomata acuminata	en
641342831	anogenital warts NOS	en
641342831	venereal warts	en
641342831	verrucae anogenitales	en
2121996806	infected umbilicus	en
2121996806	infection of navel	en
1209038539	staphylococcal infection of skin	en
1991248382	pyodermia	en
1224052315	streptococcal skin infected	en
566574133	postoperative eye complications	en
751603744	infected finger	en
751603744	infection of skin of finger	en
2105325745	infected toe	en
2144774073	cellulitis NOS	en
1622653958	Superficial folliculitis	en
