ancestor_id	descendant_id	depth
809409349	1822021291	2
809409349	1532117324	2
809409349	1068194575	2
1952481594	1952481594	0
1644587915	1644587915	0
1644587915	446305135	1
1644587915	320939116	1
1644587915	193063276	1
1644587915	512109781	1
1644587915	1644587915/unspecified	1
1644587915	537826614	1
1644587915	1516688136	1
1644587915	706550431	1
1644587915	1644587915/other	1
1644587915	1999801446	1
1644587915	1675068535	1
1644587915	446305135/other	2
1644587915	1981595639	2
1644587915	1742998538	2
1644587915	1683062254	2
1644587915	2098778749	2
1644587915	446305135/unspecified	2
1644587915	809513664	2
1644587915	728568723	2
1644587915	659345903	2
1644587915	54219558	2
1644587915	1955750400	2
1644587915	398087495	2
1644587915	12955175	2
1644587915	2132506026	2
1644587915	320939116/other	2
1644587915	2045954085	2
1644587915	320939116/unspecified	2
1644587915	193063276/other	2
1644587915	193063276/unspecified	2
1644587915	373491363	2
1644587915	21712804	2
1644587915	807866001	2
1644587915	231914102	2
1644587915	966539668	2
1644587915	1689497455	2
1644587915	512109781/other	2
1644587915	152776804	2
1644587915	512109781/unspecified	2
1644587915	1399661582	2
1644587915	393185699	2
1644587915	309473869	2
1644587915	1331537078	2
1644587915	1408488915	2
1644587915	110574174	2
1644587915	2101432719	2
1644587915	537826614/unspecified	2
1644587915	537826614/other	2
1644587915	1122828822	2
1644587915	171433417	2
1644587915	313778220	2
1644587915	553304993	2
1644587915	752550365	2
1644587915	260594919	2
1644587915	650557261	2
1644587915	706550431/unspecified	2
1644587915	706550431/other	2
1644587915	2139722381	2
1644587915	919612326	2
1644587915	551148682	2
1644587915	876401817	2
1644587915	1935954685	2
1644587915	315623565	2
1644587915	61447835	2
1644587915	1632865918	2
1644587915	2134289266	2
1644587915	1999801446/unspecified	2
1644587915	1999801446/other	2
1644587915	1434326374	3
1644587915	1497870078	3
1644587915	1742998538/other	3
1644587915	1742998538/unspecified	3
1644587915	1250685699	3
1644587915	468327011	3
1644587915	776008666	3
1644587915	555516892	3
1644587915	729078824	3
1644587915	1013987363	3
1644587915	463181627	3
1644587915	1976782649	3
1644587915	1943064268	3
1644587915	190961126	3
1644587915	145982333	3
1644587915	1840535948	3
1644587915	649493101	3
1644587915	953347371	3
1644587915	1879218263	3
1644587915	848556089	3
1644587915	1417889095	3
1644587915	279827145	3
1644587915	536359334	3
1644587915	1591523661	3
1644587915	2105576861	3
1644587915	2142996958	3
1644587915	592535707	3
1644587915	1148922670	3
1644587915	2146135674	3
1644587915	1122828822/unspecified	3
1644587915	1122828822/other	3
1644587915	1629251056	3
1644587915	1322041450	3
1644587915	149154243	3
1644587915	1677843970	3
1644587915	939401750	3
1644587915	118941169	3
1644587915	257436156	3
1644587915	1861191428	3
