icd_11_id	name	icd_11_code
136153868	Adnexal and skin appendage neoplasms, in situ	
1815238149	Cause of death as stated on the medical certificate of cause of death under legal inquiry	XE57B
848390998	Psychoactive drug use, suspicion or evidence of psychoactive drug use by both the injured person and other persons involved in the injury event	XE28E
1940176817	Cause of death as found by legal authority	XE3N1
948797042	Adnexal and skin appendage neoplasms, malignant	
273155706	Biological and chemical medical device component	
632885142	Psychoactive drug use, suspicion or evidence of psychoactive drug use by other persons involved in the injury event	XE8GW
1745431346	Adnexal and skin appendage neoplasms- ICD-O3 view	
739585402	Electrical and magnetic medical device component	
1848703062	Psychoactive drug use, no information available	XE43G
1464358166	Psychoactive drug use, no suspicion or evidence of psychoactive drug use by any person involved in the injury event	XE5TU
1080046038	Psychoactive drug use, suspicion or evidence of psychoactive drug use by the injured person	XE5VY
1492564719	Other component of medical device	
665815018	Gender of perpetrator	
1723855209	Cause of death as stated on the medical certificate of cause of death	XE47T
298887326	Ductal and lobular neoplasms, uncertain whether benign or malignant	
1217175794	Giant cell tumours, benign	
818301522	Giant cell tumours- ICD-O3 view	
1878226710	Fibromatous neoplasms, in situ	
517417642	Type of armed conflict	
1432280426	Previous non-fatal intentional self harm	
1754695847	Intention to die aspect of self-harm	
1208997373	Adnexal and skin appendage neoplasms, uncertain whether benign or malignant	
860536151	Optical medical device component	
1214579696	Measurement medical device component	
1814458410	Proximal risk-factors for intentional self-harm	
562646632	Safety medical device component	
1323861679	Giant cell tumours, uncertain whether benign or malignant	
224576773	Giant cell tumours, malignant	
699071140	Role of injured person in armed conflict	
1289308621	Adnexal and skin appendage neoplasms, benign	
264258686	Mechanical medical device component	
1324810543	Ductal and lobular neoplasms, in situ	
501248037	Fibromatous neoplasms, benign	
976077838	Ductal and lobular neoplasms, benign	
272022276	Fibromatous neoplasms- ICD-O3 view	
33540540	Ductal and lobular neoplasms, malignant	
71421198	Ductal and lobular neoplasms- ICD-O3 view	
309721462	Intent as stated on the medical certificate of cause of death	XE54S
666616915	Fibromatous neoplasms, uncertain whether benign or malignant	
405907275	Fibromatous neoplasms, malignant	
814211882	Context of assault and maltreatment	
1029573078	Intent as stated on the medical certificate of cause of death under legal inquiry	XE455
1115077034	Perpetrator-victim relationship	
936619706	Intent as found by legal authority	XE4NE
303305012	Optical problem with device identified	XE4KN
758760028	Software problem with device identified	XE6TE
2111816531	Biological problem with device identified	XE0WX
165878268	Environment problem with device identified	XE3AL
224300996	Manufacturing process problem with device identified	XE205
1191797409	Maintenance problem with device identified	XE6LZ
697604442	No device problem found	XE41R
1940807163	Thermal problem with device identified	XE8XM
1022628020	Electromagnetic compatibility problem with device identified	XE6AQ
1723142947	Operational problem with device identified	XE82X
412726880	Clinical imaging problem with device identified	XE05W
1297658511	Labeling and instructions for use or maintenance of device problem identified	XE1YT
476047186	Protective system problem with device identified	XE5HU
226687112	Mechanical problem with device identified	XE640
1400794409	Transport or storage problem with device identified	XE9VK
1470830083	Electrical problem with device identified	XE4CB
679681850	Interoperability problem with device identified	XE02N
1405350447	Intent imputed because not recorded on the medical certificate of cause of death	XE12P
1644725533	Patient sample problem with device identified	XE2YD
1498305859	Unknown status of intent	XE2BK
118448108	Material or chemical problem with device identified	XE3RW
1181033457	No findings available	XE587
657558053	Cause traced to device design	XE1UR
250320176	Complex mixed and stromal neoplasms, uncertain whether benign or malignant	
2071638841	Paid work	XE545
46039999	Complex mixed and stromal neoplasms- ICD-O3 view	
1428847289	Educational activity	XE729
237449042	Complex mixed and stromal neoplasms, malignant	
765869078	Basal cell neoplasms, uncertain whether benign or malignant	
518895336	Complex mixed and stromal neoplasms, benign	
1475438922	Cause traced to transport or storage	XE18E
542954593	Appropriate term or code for investigation of device not available	XE3WR
376713632	Basal cell neoplasms, in situ	
489842668	Basal cell neoplasms, benign	
821249273	Sports, recreation or leisure activity	
1914180306	Cause traced to maintenance	XE5AS
47772095	Cause cannot be traced to device	XE5BM
1865228315	Basal cell neoplasms- ICD-O3 view	
160164281	Being taken care of	
599690820	Results pending completion of investigation	XE3PA
204781487	Cause traced to user	XE6LX
1606458526	Complex mixed and stromal neoplasms, in situ	
1107435129	Unpaid work	XE8VF
1032412464	Basal cell neoplasms, malignant	
1574665812	Cause traced to component failure	XE7NC
1728273418	Cause traced to labeling	XE674
150136483	Cause traced to training	XE5UX
1718558044	Cause traced to environment	XE1WV
841663741	Cause traced to manufacturing	XE2TX
1397555062	Cause traced to infrastructure	XE7NN
422574455	Falsified device	XE8UG
95812151	Mechanical problem	XE2GF
409664201	Conclusion not yet available regarding problem with device	XE0T3
279885039	Chemical problem	XE52X
1936976727	Adenocarcinomas, malignant	
1379735468	Cause of problem with device not established	XE2SY
1114507629	Adenomas and adenocarcinomas, uncertain whether benign or malignant	
1392580621	Patient device interaction problem	XE4HK
653305704	Adenomas, benign	
2106526978	Calibration problem	XE55U
1691599292	Electrical or electronic property problem	XE16C
112791747	Known inherent risk of device	XE0QB
1247332916	Manufacturing, packaging or shipping problem	XE7Q8
1782857886	Material integrity problem	XE4LP
1617844100	Optical problem	XE941
329408027	No problem with device detected	XE51D
1395468571	Adenocarcinomas in situ	
2063258813	Adenomas and adenocarcinomas- ICD-O3 view	
1777861256	Output problem	XE28Y
171914268	Testing of device from same lot batch returned from user	XE4S0
191560350	Testing of patient sample or reference material using reference method	XE9MY
2098279076	Use of device problem	XE0AG
1539429581	Complex epithelial neoplasms- ICD-O3 view	
1851043771	Testing of raw or starting materials	XE8XV
1895596675	Testing of actual or suspected device	XE9HD
402515227	Environmental compatibility problem	XE6K5
893926364	Complex epithelial neoplasms, benign	
264005294	Testing of patient sample or reference material using competitor's device	XE89L
1796949879	Testing of device from other lot or batch returned from user	XE4X1
2095270992	Computer software problem	XE85E
1732052598	Human-device interface problem	XE5DG
59435667	Contamination or decontamination problem	XE4XW
370121705	Activation, positioning or separation problem	XE4GH
269680842	Testing of device from same lot or batch retained by manufacturer	XE7XH
478297221	Protective measures problem	XE1XC
51696945	Communication or transmission problem	XE0JD
423158245	Connection problem	XE3UR
48671683	Labelling, instructions for use or training problem	XE3J4
613265472	Testing of patient sample or reference material using manufacturer's device	XE6FS
2006750672	Adverse event without identified device or use problem	XE3GL
436781428	Complex epithelial neoplasms, malignant	
1601225299	Testing of device from other lot batch retained by manufacturer	XE2ZR
1886547997	Testing of model variant	XE1XT
320009977	Temperature problem	XE586
161051229	Infusion or flow problem	XE7NV
669063419	Analysis of production records	XE4KV
2119339123	Trend analysis	XE8BM
411992947	Analysis of data provided by user or third party	XE59M
1830228332	Installation related problem	XE2H3
1745517692	No apparent adverse event	XE3DN
1562211636	Compatibility problem	XE452
1315006457	Historical data analysis	XE8UH
1653070616	Appropriate term or code not available for aspects of incidents related to devices	XE1W0
762101655	Communication or interviews	XE7GK
1222383662	Incomplete device returned	XE5AN
1938827834	Type of investigation not yet determined	XE6Q2
1730679517	Phase of sport or exercise activity	
366561373	Environmental countermeasures in sport or exercise	
1463612101	Counterpart in land transport crash	
1879078429	Personal countermeasures in sport or exercise	
594925588	Other mechanisms of transport injury without counterpart	
234801061	Device not accessible for testing	XE53L
1582350237	Type of sport or exercise activity	
1508179816	Insufficient information available	XE3TW
1119111122	Device not returned	XE970
1075090949	Vehicle user role of person injured in transport event	
1295519033	Occupation	
874647019	Potential arrest situation	XE52B
2037136197	Mode of transport of person injured in transport event	
948063053	Acinar cell neoplasms, benign	
712382701	Acinar cell neoplasms, in situ	
1735989778	Device discarded	XE18W
